year,region,age,value
2014,종로구,0 ,231 
2014,종로구,1 ,771 
2014,종로구,2 ,990 
2014,종로구,3 ,826 
2014,종로구,4 ,573 
2014,종로구,5 ,558 
2014,종로구,6 ,91 
2014,중구,0 ,201 
2014,중구,1 ,755 
2014,중구,2 ,907 
2014,중구,3 ,640 
2014,중구,4 ,433 
2014,중구,5 ,423 
2014,중구,6 ,51 
2014,용산구,0 ,374 
2014,용산구,1 ,1055 
2014,용산구,2 ,1275 
2014,용산구,3 ,872 
2014,용산구,4 ,696 
2014,용산구,5 ,649 
2014,용산구,6 ,117 
2014,성동구,0 ,697 
2014,성동구,1 ,1667 
2014,성동구,2 ,1949 
2014,성동구,3 ,1225 
2014,성동구,4 ,819 
2014,성동구,5 ,743 
2014,성동구,6 ,67 
2014,광진구,0 ,801 
2014,광진구,1 ,1947 
2014,광진구,2 ,2225 
2014,광진구,3 ,1506 
2014,광진구,4 ,981 
2014,광진구,5 ,856 
2014,광진구,6 ,121 
2014,동대문구,0 ,726 
2014,동대문구,1 ,1902 
2014,동대문구,2 ,2287 
2014,동대문구,3 ,1498 
2014,동대문구,4 ,1069 
2014,동대문구,5 ,978 
2014,동대문구,6 ,165 
2014,중랑구,0 ,1018 
2014,중랑구,1 ,2450 
2014,중랑구,2 ,2698 
2014,중랑구,3 ,1836 
2014,중랑구,4 ,1395 
2014,중랑구,5 ,1366 
2014,중랑구,6 ,167 
2014,성북구,0 ,1093 
2014,성북구,1 ,2607 
2014,성북구,2 ,3114 
2014,성북구,3 ,1847 
2014,성북구,4 ,1139 
2014,성북구,5 ,995 
2014,성북구,6 ,82 
2014,강북구,0 ,685 
2014,강북구,1 ,1676 
2014,강북구,2 ,2069 
2014,강북구,3 ,1560 
2014,강북구,4 ,1306 
2014,강북구,5 ,1192 
2014,강북구,6 ,129 
2014,도봉구,0 ,936 
2014,도봉구,1 ,2118 
2014,도봉구,2 ,2350 
2014,도봉구,3 ,1777 
2014,도봉구,4 ,1175 
2014,도봉구,5 ,1090 
2014,도봉구,6 ,116 
2014,노원구,0 ,1629 
2014,노원구,1 ,3458 
2014,노원구,2 ,3849 
2014,노원구,3 ,1834 
2014,노원구,4 ,1328 
2014,노원구,5 ,1317 
2014,노원구,6 ,217 
2014,은평구,0 ,1137 
2014,은평구,1 ,3070 
2014,은평구,2 ,3432 
2014,은평구,3 ,2572 
2014,은평구,4 ,1642 
2014,은평구,5 ,1488 
2014,은평구,6 ,231 
2014,서대문구,0 ,594 
2014,서대문구,1 ,1415 
2014,서대문구,2 ,1608 
2014,서대문구,3 ,1188 
2014,서대문구,4 ,877 
2014,서대문구,5 ,785 
2014,서대문구,6 ,332 
2014,마포구,0 ,600 
2014,마포구,1 ,1848 
2014,마포구,2 ,2347 
2014,마포구,3 ,1455 
2014,마포구,4 ,1116 
2014,마포구,5 ,1019 
2014,마포구,6 ,198 
2014,양천구,0 ,969 
2014,양천구,1 ,2533 
2014,양천구,2 ,3119 
2014,양천구,3 ,2143 
2014,양천구,4 ,1620 
2014,양천구,5 ,1593 
2014,양천구,6 ,72 
2014,강서구,0 ,1444 
2014,강서구,1 ,3459 
2014,강서구,2 ,4096 
2014,강서구,3 ,2579 
2014,강서구,4 ,1901 
2014,강서구,5 ,1791 
2014,강서구,6 ,171 
2014,구로구,0 ,1067 
2014,구로구,1 ,2737 
2014,구로구,2 ,3309 
2014,구로구,3 ,2245 
2014,구로구,4 ,1725 
2014,구로구,5 ,1643 
2014,구로구,6 ,173 
2014,금천구,0 ,602 
2014,금천구,1 ,1570 
2014,금천구,2 ,1699 
2014,금천구,3 ,1327 
2014,금천구,4 ,1081 
2014,금천구,5 ,980 
2014,금천구,6 ,160 
2014,영등포구,0 ,731 
2014,영등포구,1 ,2262 
2014,영등포구,2 ,2814 
2014,영등포구,3 ,1717 
2014,영등포구,4 ,1280 
2014,영등포구,5 ,1146 
2014,영등포구,6 ,131 
2014,동작구,0 ,763 
2014,동작구,1 ,1936 
2014,동작구,2 ,2461 
2014,동작구,3 ,1436 
2014,동작구,4 ,1086 
2014,동작구,5 ,965 
2014,동작구,6 ,180 
2014,관악구,0 ,932 
2014,관악구,1 ,2477 
2014,관악구,2 ,2989 
2014,관악구,3 ,1992 
2014,관악구,4 ,1386 
2014,관악구,5 ,1222 
2014,관악구,6 ,171 
2014,서초구,0 ,538 
2014,서초구,1 ,1799 
2014,서초구,2 ,2340 
2014,서초구,3 ,1667 
2014,서초구,4 ,1223 
2014,서초구,5 ,1062 
2014,서초구,6 ,36 
2014,강남구,0 ,824 
2014,강남구,1 ,2108 
2014,강남구,2 ,2775 
2014,강남구,3 ,1884 
2014,강남구,4 ,1308 
2014,강남구,5 ,1108 
2014,강남구,6 ,34 
2014,송파구,0 ,1425 
2014,송파구,1 ,3699 
2014,송파구,2 ,4257 
2014,송파구,3 ,2630 
2014,송파구,4 ,1769 
2014,송파구,5 ,1567 
2014,송파구,6 ,126 
2014,강동구,0 ,1126 
2014,강동구,1 ,2681 
2014,강동구,2 ,3212 
2014,강동구,3 ,2255 
2014,강동구,4 ,1447 
2014,강동구,5 ,1313 
2014,강동구,6 ,45 
